COUNTRY,YEAR_MONTH,TITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
DE,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Music,219110491,7.05
FR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Music,232649205,6.76
GB,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Music,208581468,7.3
RU,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Music,183532509,7.99
CA,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,Music,264407389,6.05
IN,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,Music,264407389,6.05
US,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,Music,264407389,6.05
BR,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,Music,278080610,5.83
JP,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,Music,289350312,5.65
KR,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,Music,296314174,5.55
MX,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,Music,278080610,5.83
